Day,P,W
10,2.985074627,0.989119683
10,2.268041237,0.778210117
10,1.01010101,1.324942034
20,26.60377358,17.24137931
20,30.72033898,12.76595745
20,28.71287129,11.56862745
32,26.08695652,6.791171477
32,41.12808461,16.06060606
32,31.4453125,9.046849758
41,41.13636364,9.473684211
41,29.91315536,12.28813559
41,32.61904762,11.70960187
