Day,Name,Purple,White
10,P,224000000,0
10,P,186000000,0
10,W,12000000,0
20,P,22000000,2000000
20,P,28000000,0
20,P,34000000,0
20,W,24000000,0
20,W,54000000,4000000
20,W,40000000,0
32,P,0,26000000
32,P,0,32000000
32,P,0,24000000
32,W,0,24000000
32,W,0,32000000
32,W,16000000,140000000
41,P,200000,19200000
41,P,0,42000000
41,P,0,23200000
41,W,0,30000000
41,W,200000,11400000
41,W,0,27400000
