Day,P,W
10,33.14527504,20.75949367
10,33.92177224,26.47453083
10,31.42458101,23.80142809
20,6.547208822,11.70212766
20,5.515339538,15.07537688
20,6.460674157,15.59139785
32,41.8128655,9.595959596
32,2.798982188,109.1168091
32,2.654867257,25.54347826
41,17.28395062,30.06012024
41,16.69505963,44.73161034
41,43.08005427,7.124010554
